Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
55818,Text,26/10/2017,The Complete Testimony of the Fathers of the First Three Centuries Concerning the Sabbath and First Day,en,"Andrews, John Nevins, 1829-1883",Sunday; Sabbath; Seventh-Day Adventists,BV,
55819,Text,26/10/2017,The Story of Lutheran Missions,en,"Singmaster, Elsie, 1879-1958",Lutheran Church -- Missions,BV,
55833,Text,28/10/2017,Letters That Have Helped Me,en,"Judge, William Quan, 1851-1896; Keightley, Julia Wharton Lewis Campbell Ver Planck","Theosophy; Judge, William Quan, 1851-1896; Theosophists -- United States -- Correspondence",BP,
55875,Text,02/11/2017,"Uit de ontwikkelingsgeschiedenis van het Menschelijk Denken, Deel 1 van 2",nl,"Casimir, R. (Rommert), 1877-1957",Philosophy -- History,B,
55879,Text,02/11/2017,"La psychologie comme science naturelle, son présent et son avenir
Application de la méthode expérimentale aux phénomènes de l'âme",fr,"Delboeuf, Joseph-Remi-Leopold, 1831-1896",Soul; Psychology; Human experimentation in psychology,BF,FR Sciences et Techniques
55898,Text,07/11/2017,"Solitude
With the Life of the Author. In Two Parts",en,"Zimmermann, Johann Georg, 1728-1795",Solitude,BJ,
55925,Text,09/11/2017,Kant's gesammelte Schriften. Band V. Kritik der Urtheilskraft.,de,"Kant, Immanuel, 1724-1804",Intellect; Judgment (Logic),B,
55940,Text,12/11/2017,"Theosophy and Life's Deeper Problems
Being the Four Convention Lectures Delivered in Bombay at the Fortieth Anniversary of the Theosophical Society, December, 1915",en,"Besant, Annie, 1847-1933",Theosophy,BP,
55955,Text,13/11/2017,Ports of Entry: Missionary Herald,en,Council of Women for Home Missions; Home Missions Council (U.S.),City missions -- New York (State) -- New York; Home missions -- New York (State) -- New York; Women in missionary work -- New York (State) -- New York; Missions -- Ellis Island (N.J. and N.Y.),BV,
55973,Text,15/11/2017,Shinto: The ancient religion of Japan,en,"Aston, W. G. (William George), 1841-1911",Shinto,BL,
55988,Text,17/11/2017,Natural History of Enthusiasm,en,"Taylor, Isaac, 1787-1865",Enthusiasm -- Religious aspects -- Christianity,BR,
55990,Text,17/11/2017,"Post-Mediæval Preachers
Some Account of the Most Celebrated Preachers of the 15th, 16th, & 17th Centuries; with outlines of their sermons, and specimens of their style",en,"Baring-Gould, S. (Sabine), 1834-1924",Preaching,BV,
56019,Text,21/11/2017,"A Class-Book of Biblical History and Geography
with numerous maps",en,"Osborn, H. S. (Henry Stafford), 1823-1894",Bible -- History of Biblical events -- Textbooks,BS,
56020,Text,21/11/2017,The Power of Truth: Individual Problems and Possibilities,en,"Jordan, William George, 1864-1928",Conduct of life,BF,
56041,Text,23/11/2017,"The Inevitable Crimes of Celibacy
The Vices of Convents and Monasteries, Priests and Nuns",en,"Watson, Thomas E. (Thomas Edward), 1856-1922",Catholic Church -- Controversial literature; Celibacy -- Catholic Church,BX,
56075,Text,28/11/2017,"Seneca's Morals of a Happy Life, Benefits, Anger and Clemency",en,"Seneca, Lucius Annaeus, 4? BCE-65; L'Estrange, Roger, Sir, 1616-1704 [Translator]",Ethics; Conduct of life,BJ,
56084,Text,30/11/2017,Catharine de Bora: Social and Domestic Scenes in the Home of Luther,en,"Morris, John G. (John Gottlieb), 1803-1895","Luther, Katharina von Bora, 1499-1552; Luther, Martin, 1483-1546",BR,
56102,Text,02/12/2017,"The American Missionary — Volume 35, No. 9, September, 1881",en,Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,BV,The American Missionary
56110,Text,03/12/2017,Führende Denker: Geschichtliche Einleitung in die Philosophie,de,"Cohn, Jonas, 1869-1947",Philosophy -- History,B,
56150,Text,09/12/2017,"The American Missionary — Volume 35, No. 11, November, 1881",en,Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,BV,The American Missionary
56182,Text,15/12/2017,"Die Religion innerhalb der Grenzen der bloßen Vernunft
Text der Ausgabe 1793, mit Beifügung der Abweichungen der Ausgabe 1794",de,"Kant, Immanuel, 1724-1804; Kehrbach, Karl, 1846-1905 [Editor]",Philosophy and religion,B,
56184,Text,16/12/2017,Brother Van,en,"Brummitt, Stella Wyatt","Van Orsdel, W. W. (William Wesley), 1848-1919",BX,
